,spam,ham
a,13,45
abierto,0,1
abrazo,0,1
aburras,1,0
acabando,0,1
accesar,1,0
accesos,0,1
acción,1,0
activa,1,0
actividades,0,3
adelante,0,1
además,0,3
adjunta,0,2
administración,0,1
aescape,0,1
afectados,0,1
afortunadamente,0,1
agarró,0,1
agradecería,0,1
agregué,0,1
ahora,0,3
ahorra,2,0
ahorrar,1,0
ahí,0,2
aire,1,0
al,7,6
alerta,1,0
algo,2,6
alguien,0,1
alguna,0,1
algunas,0,1
alguno,0,1
algunos,0,2
algún,0,4
alrededor,0,1
alumnos,0,2
am,0,1
amazon,4,0
ambas,0,1
ambiente,0,1
amigos,1,0
ando,0,1
android,0,1
anexo,0,1
anotarse,0,1
antemano,0,1
antes,0,1
ao,1,0
apetece,1,0
aplicaciones,0,1
apoyar,1,2
apoyo,0,2
apple,1,0
aprovecha,13,0
aquello,0,1
aquí,5,3
archivo,0,1
arden,1,0
area,0,1
artículos,1,0
asamblea,0,1
asegura,1,0
asegurado,1,0
asegurando,1,0
asistir,0,1
así,0,5
att,1,0
audio,0,2
auto,2,0
automática,1,0
autónoma,0,1
avance,0,1
averiguar,0,1
avísenme,0,1
ayuda,1,0
aún,1,0
baja,0,1
barista,1,0
barra,1,0
base,0,1
bases,0,1
batallas,0,1
becas,0,1
belleza,1,0
beneficios,1,0
bershka,2,0
biblioteca,0,1
bien,0,3
blanca,1,0
bonificación,1,0
brindemos,1,0
buen,1,3
buena,0,1
buenas,0,5
bueno,0,1
buenos,0,4
burger,1,0
buscando,0,4
buscas,1,0
cada,0,1
cafetería,1,0
café,1,0
calificaciones,0,3
california,0,1
calles,1,0
cambia,1,0
cambios,0,1
camping,1,0
canal,0,3
capacidad,0,1
carrera,0,1
casa,8,0
categorías,0,1
catálogos,0,1
celulares,1,0
cerrar,0,1
challenge,0,1
chat,0,1
chedraui,2,0
chicos,0,2
click,2,0
clicks,1,0
clonen,0,1
coche,1,0
colaborar,0,1
colchones,1,0
colega,0,1
collares,1,0
comenzamos,0,1
comenzar,0,1
comenzaríamos,0,1
como,0,5
compaeros,0,3
compartir,0,2
compartí,0,1
compilación,0,1
compleméntala,1,0
completa,0,1
compra,4,0
comprar,1,0
compras,1,0
computación,0,3
computadora,0,1
comunicacion,0,1
comunicarles,0,1
con,31,14
conferencia,0,1
confirmo,0,1
congelamos,1,0
congreso,0,1
conjunto,0,2
conoce,1,0
consentidos,1,0
consentir,1,0
consigue,1,0
consulta,0,1
consulte,1,0
